Fri Jul 28 20:34:41 2017,2289,2000,38951,12269,5623,12968,36154,63557,3576102912,4999741440,2913271808,3053191168,3125673984
Fri Jul 28 20:34:42 2017,53901,48605,30047,13352,35930,12839,59764,44497,1764425728,3713400832,4381212672,3034382336,704249856
Fri Jul 28 20:34:42 2017,3045,31415,23775,15388,47303,2632,22548,16142,4094951424,4268883968,4883283968,3809738752,2809987072
Fri Jul 28 20:34:43 2017,45444,-1,22911,49838,43410,27347,59311,28314,4467785728,2526150656,5317591040,2608201728,2894856192
Fri Jul 28 20:34:44 2017,48192,36804,38057,56554,9831,49767,37526,25099,3119185920,5794430976,4014276608,7179862016,2533621760
Fri Jul 28 20:34:45 2017,-1,39999,45012,53367,49328,50684,58554,57299,3189964800,7115112448,4699389952,4652335104,6728384512
Fri Jul 28 20:34:46 2017,54780,13527,62696,11850,62645,12666,64165,36745,2512715776,3246456832,5249761280,5440077824,6037045248
Fri Jul 28 20:34:47 2017,59959,63022,4690,20507,23383,-1,43357,49667,5944246272,2977693696,2838036480,3569483776,2099642368
Fri Jul 28 20:34:48 2017,53373,621,18033,1986,50373,31149,6286,2549,3061317632,4448976896,3310223360,6752698368,3416260608
Fri Jul 28 20:34:49 2017,61338,19935,61752,31992,56604,48903,63214,41955,5684461568,1223229440,1975255040,211288064,4378198016
Fri Jul 28 20:34:49 2017,26521,36736,8549,50367,38203,39936,24007,2242,4860346368,2261450752,1220411392,7848591360,4848680960
Fri Jul 28 20:34:50 2017,26622,65088,12517,14876,20642,10609,63169,33829,3969974272,5343674368,2899705856,6726287360,5255462912
Fri Jul 28 20:34:51 2017,50958,36514,35074,11721,10921,5259,50448,62856,7541424128,4047437824,3679256576,5481103360,5605228544
Fri Jul 28 20:34:52 2017,-1,29554,51375,64683,22792,38600,21968,53219,5075566592,1276903424,5543952384,2606039040,3848208384
Fri Jul 28 20:34:53 2017,49031,-1,35933,54353,5391,64977,9221,30870,5455413248,2028732416,3498704896,5714608128,5130878976
Fri Jul 28 20:34:54 2017,31665,-1,25401,19862,10183,15899,15789,18638,3019177984,3331194880,5336858624,5165219840,6581321728
Fri Jul 28 20:34:54 2017,59060,13886,60653,39818,7790,10254,55063,51995,3259891712,6158876672,1583874048,1230569472,4923129856
Fri Jul 28 20:34:55 2017,34285,24674,38331,5782,53120,23723,45702,31869,4191158272,2723807232,3999334400,4852023296,2334064640
Fri Jul 28 20:34:56 2017,41552,7602,49810,20092,50341,-1,47394,18407,6227689472,2914582528,892534784,3879731200,5106302976
Fri Jul 28 20:34:57 2017,60319,33669,47878,36561,15919,8156,19261,29930,5028249600,6168051712,2645098496,3323133952,3222929408
